year,participant,discipline_id,discipline_name,result_value,result_unit,place,points,overall_rank,overall_points,source_id,notes,source_url
2025,Борис Сдвижков,us_togul_us,Якутские прыжки 3х3,,метры,8,8,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,tutum_ergiir,Якутская вертушка,,обороты,7,7,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,1,1,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,archery,Стрельба из традиционного лука,,очки,2,2,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,run_400m,Бег 400 метров,,секунды,7,7,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,khapsagay,Борьба хапсагай,,место / победы-поражения,4,4,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Сдвижков,taas_kotoguu,Поднятие и переноска камня,,метры,1,1,1,30,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,us_togul_us,Якутские прыжки 3х3,,метры,6,6,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,tutum_ergiir,Якутская вертушка,,обороты,4,4,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,10,10,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,archery,Стрельба из традиционного лука,,очки,1,1,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,run_400m,Бег 400 метров,,секунды,5,5,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,khapsagay,Борьба хапсагай,,место / победы-поражения,2,2,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Артем Дьяконов,taas_kotoguu,Поднятие и переноска камня,,метры,5,5,2,33,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,us_togul_us,Якутские прыжки 3х3,,метры,5,5,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,tutum_ergiir,Якутская вертушка,67,обороты,1,1,3,40,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Алексей Соколов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,11,11,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,archery,Стрельба из традиционного лука,,очки,5,5,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,run_400m,Бег 400 метров,,секунды,1,1,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,khapsagay,Борьба хапсагай,,место / победы-поражения,11,11,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Соколов,taas_kotoguu,Поднятие и переноска камня,,метры,6,6,3,40,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Яков Дмитриев,us_togul_us,Якутские прыжки 3х3,34.80,метры,1,1,4,42,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Яков Дмитриев,tutum_ergiir,Якутская вертушка,,обороты,14,14,4,42,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Яков Дмитриев,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,4,4,4,42,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Яков Дмитриев,archery,Стрельба из традиционного лука,,очки,10,10,4,42,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Яков Дмитриев,run_400m,Бег 400 метров,,секунды,6,6,4,42,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Яков Дмитриев,khapsagay,Борьба хапсагай,,место / победы-поражения,3,3,4,42,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Яков Дмитриев,taas_kotoguu,Поднятие и переноска камня,,метры,4,4,4,42,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,us_togul_us,Якутские прыжки 3х3,,метры,10,10,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,tutum_ergiir,Якутская вертушка,,обороты,12,12,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,2,2,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,archery,Стрельба из традиционного лука,,очки,4,4,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,run_400m,Бег 400 метров,,секунды,3,3,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,khapsagay,Борьба хапсагай,,место / победы-поражения,8,8,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Тимофей Большаков,taas_kotoguu,Поднятие и переноска камня,,метры,7,7,5,46,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,us_togul_us,Якутские прыжки 3х3,33.00,метры,3,3,6,51,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Алексей Уваровский,tutum_ergiir,Якутская вертушка,66,обороты,2,2,6,51,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Алексей Уваровский,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,16,16,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,archery,Стрельба из традиционного лука,,очки,7,7,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,run_400m,Бег 400 метров,,секунды,9,9,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,khapsagay,Борьба хапсагай,,место / победы-поражения,5,5,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Уваровский,taas_kotoguu,Поднятие и переноска камня,,метры,9,9,6,51,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,us_togul_us,Якутские прыжки 3х3,,метры,7,7,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,tutum_ergiir,Якутская вертушка,66,обороты,3,3,7,53,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Вячеслав Дьяконов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,6,6,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,archery,Стрельба из традиционного лука,,очки,16,16,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,run_400m,Бег 400 метров,,секунды,10,10,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,khapsagay,Борьба хапсагай,,место / победы-поражения,1,1,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Вячеслав Дьяконов,taas_kotoguu,Поднятие и переноска камня,,метры,10,10,7,53,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,us_togul_us,Якутские прыжки 3х3,,метры,14,14,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,tutum_ergiir,Якутская вертушка,,обороты,8,8,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,3,3,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,archery,Стрельба из традиционного лука,,очки,8,8,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,run_400m,Бег 400 метров,,секунды,16,16,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,khapsagay,Борьба хапсагай,,место / победы-поражения,6,6,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Николай Матаннанов,taas_kotoguu,Поднятие и переноска камня,,метры,3,3,8,58,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,us_togul_us,Якутские прыжки 3х3,,метры,13,13,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,tutum_ergiir,Якутская вертушка,,обороты,9,9,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,9,9,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,archery,Стрельба из традиционного лука,,очки,11,11,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,run_400m,Бег 400 метров,,секунды,4,4,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,khapsagay,Борьба хапсагай,,место / победы-поражения,9,9,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Владимир Шологонов,taas_kotoguu,Поднятие и переноска камня,,метры,8,8,9,63,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,us_togul_us,Якутские прыжки 3х3,,метры,4,4,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,tutum_ergiir,Якутская вертушка,,обороты,11,11,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,12,12,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,archery,Стрельба из традиционного лука,,очки,9,9,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,run_400m,Бег 400 метров,,секунды,2,2,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,khapsagay,Борьба хапсагай,,место / победы-поражения,15,15,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Валентин Афанасьев,taas_kotoguu,Поднятие и переноска камня,,метры,15,15,10,68,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,us_togul_us,Якутские прыжки 3х3,,метры,11,11,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,tutum_ergiir,Якутская вертушка,,обороты,5,5,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,15,15,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,archery,Стрельба из традиционного лука,,очки,12,12,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,run_400m,Бег 400 метров,,секунды,14,14,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,khapsagay,Борьба хапсагай,,место / победы-поражения,12,12,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Айсен Ботуев,taas_kotoguu,Поднятие и переноска камня,,метры,2,2,11,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,us_togul_us,Якутские прыжки 3х3,,метры,12,12,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,tutum_ergiir,Якутская вертушка,,обороты,6,6,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,13,13,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,archery,Стрельба из традиционного лука,,очки,3,3,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,run_400m,Бег 400 метров,,секунды,11,11,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,khapsagay,Борьба хапсагай,,место / победы-поражения,13,13,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Созонов,taas_kotoguu,Поднятие и переноска камня,,метры,13,13,12,71,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Строев,us_togul_us,Якутские прыжки 3х3,33.02,метры,2,2,13,75,S8,Raw result available from first-day media report; place/points from Dygyn.com.,https://yakutia.mk.ru/sport/2025/06/28/igry-dygyna-2025-stali-izvestny-lidery-pervogo-dnya-sostyazaniy.html
2025,Борис Строев,tutum_ergiir,Якутская вертушка,,обороты,16,16,13,75,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Строев,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,8,8,13,75,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Строев,archery,Стрельба из традиционного лука,,очки,16,16,13,75,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Строев,run_400m,Бег 400 метров,,секунды,15,15,13,75,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Строев,khapsagay,Борьба хапсагай,,место / победы-поражения,7,7,13,75,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Борис Строев,taas_kotoguu,Поднятие и переноска камня,,метры,11,11,13,75,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,us_togul_us,Якутские прыжки 3х3,,метры,9,9,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,tutum_ergiir,Якутская вертушка,,обороты,10,10,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,5,5,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,archery,Стрельба из традиционного лука,,очки,13,13,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,run_400m,Бег 400 метров,,секунды,12,12,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,khapsagay,Борьба хапсагай,,место / победы-поражения,16,16,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Александр Пшенников,taas_kotoguu,Поднятие и переноска камня,,метры,12,12,14,77,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,us_togul_us,Якутские прыжки 3х3,,метры,15,15,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,tutum_ergiir,Якутская вертушка,,обороты,13,13,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,7,7,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,archery,Стрельба из традиционного лука,,очки,16,16,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,run_400m,Бег 400 метров,,секунды,8,8,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,khapsagay,Борьба хапсагай,,место / победы-поражения,10,10,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Иван Степанов,taas_kotoguu,Поднятие и переноска камня,,метры,14,14,15,83,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,us_togul_us,Якутские прыжки 3х3,,метры,16,16,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,tutum_ergiir,Якутская вертушка,,обороты,15,15,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,mas_tardyhyy,Мас-рестлинг / перетягивание палки,,место / победы-поражения,14,14,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,archery,Стрельба из традиционного лука,,очки,6,6,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,run_400m,Бег 400 метров,,секунды,13,13,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,khapsagay,Борьба хапсагай,,место / победы-поражения,14,14,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
2025,Алексей Ефимов,taas_kotoguu,Поднятие и переноска камня,,метры,16,16,16,94,S5,Dygyn.com published discipline place/points; raw result not published in this table.,https://dygyn.com/posts/2025/
